"","CityFIPS","City","Arthritis among adults aged >=18 Years","Binge drinking among adults aged >=18 Years","Cancer (excluding skin cancer) among adults aged >=18 Years","Cholesterol screening among adults aged >=18 Years","Chronic kidney disease among adults aged >=18 Years","Chronic obstructive pulmonary disease among adults aged >=18 Years","Coronary heart disease among adults aged >=18 Years","Current asthma among adults aged >=18 Years","Current lack of health insurance among adults aged 18–64 Years","Current smoking among adults aged >=18 Years","Diagnosed diabetes among adults aged >=18 Years","High blood pressure among adults aged >=18 Years","High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years","Mental health not good for >=14 days among adults aged >=18 Years","No leisure-time physical activity among adults aged >=18 Years","Obesity among adults aged >=18 Years","Physical health not good for >=14 days among adults aged >=18 Years","Stroke among adults aged >=18 Years","Taking medicine for high blood pressure control among adults aged >=18 Years with high blood pressure","Visits to doctor for routine checkup within the past Year among adults aged >=18 Years","Rank","Population","Median","Parkland.as","Percent.of","Spending","Basketball.Hoops","Dog.Parks","Playgrounds","Recreation","Amenities","Raw.Total","ParkScore","ParkScore.Rating"
"11",613392,"Chula Vista",17.6,17.1,5.4,73.7,2.7,4.4,4.9,7.7,16.7,12,9.9,26.6,29.7,11.3,20.4,24.4,12,2.6,51.9,65.1,75,258316,14,7,15,4,6,11,11,8,9,49,41,NA
"12",626000,"Fremont",15.9,14.8,5.3,77.7,2,3.2,3.8,7.4,8.1,9.3,7.6,23,26.9,8.2,16.2,14.7,7.8,1.9,53.4,65.4,24,225646,14,20,19,15,6,8,6,6,7,75,62.5,NA
"13",627000,"Fresno",21.6,15.5,5.6,70.3,3.2,6.7,6.5,9.5,20.1,16.7,12.6,31.5,31.5,14.5,25.3,30.9,16.1,3.6,55.2,64.9,90,484965,7,3,19,3,13,12,4,4,8,40,33.5,NA
"14",630000,"Glendale",18.9,17.8,6.2,76.8,2.5,5.3,4.9,8.4,11.1,14.3,8.6,26,29.7,12.1,19.1,21.2,11.3,2.6,51.9,64.7,63,241346,9,5,25,2,17,12,16,8,13,54,45,NA
"15",636770,"Irvine",14.8,15.5,5.8,78.6,2.1,3.3,4,6.9,7.2,9.2,7.2,23.2,29,8.6,14.9,15.3,8.2,2,53,66.6,7,235259,12,20,27,20,9,3,10,19,10,89,74,NA
"16",643000,"Long Beach",18.9,16.5,5.8,74.9,2.8,5.2,5.2,8.6,16.8,14.7,10.7,28.5,30,12.8,22,24.8,12.7,3,53.5,65.6,24,476621,5,10,30,20,4,19,3,14,10,75,62.5,NA
"17",644000,"Los Angeles",18.8,16.4,5.6,74.1,2.9,5.2,5.4,8.4,18.8,14.5,11.3,28.5,30.4,13,22.8,25.2,13.3,3,53,64.8,74,3936542,9,13,15,9,1,1,2,13,4,50,41.5,NA
"18",653000,"Oakland",20.4,14.9,5.4,73.9,2.9,5.1,5.3,9.8,14.4,14.3,11,29.6,27.9,12.2,21.5,23.9,12.4,3.3,56.3,65.8,24,414102,4,12,32,17,9,9,6,15,10,75,62.5,NA
"19",660620,"Richmond",21.3,14.9,5.5,72.4,3,5.4,5.6,9.5,17.4,15.4,11.9,30.8,30.4,13.1,23.1,27,13.6,3.4,55.3,67.1,48,222035,7,5,26,8,20,13,10,20,16,62,51.5,NA
"20",662000,"Riverside",20.6,17.1,5.8,72.4,2.9,5.6,5.8,8.6,17.2,15.7,10.5,29.8,30.3,13.2,24.6,28.4,13.6,3,52.6,63.8,63,312549,20,6,11,7,10,12,4,14,10,54,45,NA
"21",664000,"Sacramento",22.4,16.7,5.6,72,2.8,5.8,5.7,10.1,14,15.7,10.7,31.7,29.2,13,21.7,26.8,13.3,3.2,53.3,63.1,21,480323,11,8,29,14,9,20,16,12,14,76,63.5,NA
"22",666000,"San Diego",17.9,18,5.9,75.4,2.5,4.5,4.6,7.8,12.4,12.1,8.5,26.1,29.2,10.7,17.9,22.4,10.9,2.5,52.7,65.3,14,1368280,11,20,28,14,9,11,6,12,10,83,69,NA
"23",667000,"San Francisco",17,20.1,5.3,76.2,2.3,3.9,4.5,7.6,9.3,11.2,8.9,25.5,29.5,9.8,17,18.9,9.6,2.3,52.1,66.2,3,847247,3,20,40,20,13,20,8,10,13,96,80,NA
"24",668000,"San Jose",15.4,14.8,5.4,75.4,2.3,3.9,4.4,7.5,12.8,11.2,9.1,24.2,28.1,10.2,19.8,20.3,10.2,2.3,51.2,64,24,995225,6,15,27,18,4,9,10,13,9,75,62.5,NA
"25",669000,"Santa Ana",18.1,14.4,4.8,67.8,3.3,5.5,6.4,8.3,27.8,15.7,13.6,29.7,32.9,14.6,27.9,26.4,16.7,3.3,52.5,62.8,75,339563,12,4,25,4,3,0,3,10,4,49,41,NA
"26",675000,"Stockton",22.1,15.2,5.3,70.1,3.1,6.3,6.2,9.1,19.1,16.9,12.6,32,31.6,13.8,27.2,28.9,15,3.5,55,64.9,75,286493,12,2,25,1,13,10,9,5,9,49,41,NA
"27",804000,"Aurora",22.6,15,5.8,73,2.7,5.5,5.1,9.3,18.1,18.4,8.7,28.5,28.8,11.6,22.4,24.3,11.8,3,54.3,61.9,15,353059,15,11,33,17,5,7,8,2,6,82,68.5,NA
"28",816000,"Colorado Springs",23.6,16.2,6.3,74.3,2.5,5.3,4.9,9.2,12.7,17.8,7.2,24.9,29.8,10.8,19.1,22.3,10.8,2.6,52.5,64.5,42,434920,13,9,24,8,15,19,12,3,12,66,55,NA
"29",820000,"Denver",20.6,18.9,6,73.4,2.6,4.9,4.8,8.9,16.4,17.1,8,25.9,27.5,10.7,18.2,20.7,10.8,2.7,51.7,62.1,20,667883,12,8,33,13,4,15,14,11,11,77,64,NA
"30",1230000,"Hialeah",20.2,14.3,4.6,69.9,3.6,5.9,7.2,7.8,41.6,17.5,14.8,29.9,34.1,15.3,38.8,30.6,17.5,3.2,60.1,69.5,90,228613,9,1,19,3,11,0,1,19,8,40,33.5,NA
