"","CityFIPS","City","Arthritis among adults aged >=18 Years","Binge drinking among adults aged >=18 Years","Cancer (excluding skin cancer) among adults aged >=18 Years","Cholesterol screening among adults aged >=18 Years","Chronic kidney disease among adults aged >=18 Years","Chronic obstructive pulmonary disease among adults aged >=18 Years","Coronary heart disease among adults aged >=18 Years","Current asthma among adults aged >=18 Years","Current lack of health insurance among adults aged 18–64 Years","Current smoking among adults aged >=18 Years","Diagnosed diabetes among adults aged >=18 Years","High blood pressure among adults aged >=18 Years","High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years","Mental health not good for >=14 days among adults aged >=18 Years","No leisure-time physical activity among adults aged >=18 Years","Obesity among adults aged >=18 Years","Physical health not good for >=14 days among adults aged >=18 Years","Stroke among adults aged >=18 Years","Taking medicine for high blood pressure control among adults aged >=18 Years with high blood pressure","Visits to doctor for routine checkup within the past Year among adults aged >=18 Years","State","Walk.Score","Transit.Score","Bike.Score","Population"
"32",1245000,"Miami",20.8,14.8,4.9,71.9,3.6,6.4,7.2,8.3,34.7,18.4,14.3,31.1,33.2,15,36.1,29.9,16.7,3.6,62.3,71.1,"FL",79.2,"57.2","63",399457
"33",1253000,"Orlando",23.7,15.9,5.8,75.8,3,6.9,6.3,8.7,21.8,18,11.6,32.8,32.8,13.6,26.8,26.9,13.8,3.4,60.1,69.5,"FL",42.1,"32.7","54.8",238300
"34",1263000,"St. Petersburg",23.4,18.3,6.1,76.5,2.7,6.8,6,9.1,18.1,21.5,9.9,29.7,29.1,13.7,26.2,27.2,12.9,3.1,60.5,71.5,"FL",43.4,"34.3","56.9",244769
"35",1271000,"Tampa",23.2,16.4,5.8,75.4,3,6.7,6.3,8.7,22.1,19.7,11.7,32,31.2,13.9,26.2,27.6,14.3,3.4,60.2,71.6,"FL",50,"31.5","54.5",335709
"36",1304000,"Atlanta",23.6,15.5,5.8,78.4,3.1,6.4,6.1,9.9,17.1,17.5,12.9,37.6,31.2,11.7,26.2,31.8,12.4,4.1,64.3,75,"GA",49.2,"46","41.4",420003
"37",1319000,"Columbus",27.1,14.5,6,76.7,3.1,7.4,6.4,10.6,19.5,20.3,12.9,38.3,33.2,13.4,31,37.3,13.9,4,65.1,74.4,"OH",40.7,"31","46.9",787033
"38",1703012,"Aurora",22.6,17.9,5.7,72.8,2.8,5.9,6.1,9,18.7,16.8,11.1,30.4,32.8,12,29.2,33.6,12.9,3.1,59.6,67.2,"CO",42.6,"38.5","53.2",325078
"39",1714000,"Chicago",22.2,20.4,5.7,75.1,3.1,5.9,6.3,9.4,17.6,18.1,12.5,34.1,32.4,12,28.6,34.2,12.8,3.7,60.5,69.1,"IL",77.8,"65","71.5",2695598
"40",1825000,"Fort Wayne",24.3,17.2,6.2,71.7,2.7,7.2,6.5,9.7,15.7,21,10.6,31.8,32.5,13.5,27.6,32.1,13.1,3.2,61.7,63.7,"IN",29.5,"21.7","39.9",253691
"41",1836003,"Indianapolis",23.2,15.8,6.1,72.2,2.9,7.4,6.4,10.3,17.1,22.7,11.4,31,33.9,14,30.7,33.8,13.4,3.6,62.3,66,"IN",29.8,"23.3","42.4",820445
"42",2036000,"Kansas City",24.7,14.4,5.9,67.8,3.4,7.8,7,10.5,27.8,24.4,13.6,35.7,34.3,13,37,41.3,13.9,4.1,61.5,66.9,"MO",34.2,"28.9","31.8",459787
"43",2079000,"Wichita",23.1,14.2,6.2,70.1,2.8,6.6,6,9.4,18.9,21.4,10.3,31.8,34.5,10.9,28.9,36.2,11.4,3.2,59.9,67.8,"KS",35,"19.7","43.1",382368
"44",2205000,"Baton Rouge",25.7,14.7,6,74.8,3.1,6.8,6.9,9.4,19.5,19.2,13.3,40.2,32.9,14.7,32.3,36.4,14.4,4.1,69.2,74.7,"LA",40.6,"--","43.3",229493
"45",2255000,"New Orleans",23.5,17.6,5.7,74.9,3.3,6.8,6.8,9.4,20.1,21.2,14,39.3,32.4,14.3,32.3,35,14.3,4.4,69.8,72.3,"LA",57.6,"44.2","63.8",343829
"46",2360545,"Portland",23.9,18.5,6.6,77.5,2.5,6.5,5.5,10.6,11.9,16.8,8.2,28.4,32.5,11.7,20.7,27.5,10.9,2.7,56.7,69.4,"OR",64.7,"51.4","81.2",583776
"47",2404000,"Baltimore",26.6,14.7,5.8,77,3.2,7.7,6.6,11.1,13.7,24.9,14.1,39.3,32,13.6,30.9,34.8,13.7,4.4,66.2,77.5,"MD",69.4,"57.2","52.1",620961
"48",2507000,"Boston",21.2,19.3,5.9,77.2,2.8,6.1,5.6,10.9,10.4,16.3,10.7,30.2,29.4,13.4,27.9,23.8,12.2,3.2,61.5,76.3,"MA",80.9,"72.6","69",617594
"49",2622000,"Detroit",31.4,15,5.6,71.9,4.3,10.1,8.6,12.9,23.6,31.4,17.1,46.3,35.1,17.1,36.2,45.1,18.7,6.2,66.8,77.1,"MI",55.4,"38.1","51.5",713777
"50",2743000,"Minneapolis",19.8,19,6.1,73.7,2.6,4.8,5.1,8.5,10.6,16.9,8.6,27.1,28.6,10,21.4,26.1,10.5,3,60.3,69.8,"MN",69.2,"57.6","81.9",382578
"51",2758000,"St. Paul",20.9,17.3,6.3,73.1,2.6,5.2,5.4,8.3,11.7,19.6,9.3,26.3,28.5,10.6,23.2,27,11.3,3,59.9,69.1,"MN",58.9,"47.4","63.3",285068
"52",2938000,"Kansas City",26,16.8,6.2,73.2,2.9,7,6.3,9.9,17,22.3,12.1,34.1,34,13.5,27.7,37.2,13.9,3.6,63.8,69.4,"MO",34.2,"28.9","31.8",459787
"53",2965000,"St. Louis",26.9,15.2,5.9,72.5,3.3,7.9,7,10.8,18.7,25.6,13.8,35.9,30.3,14.7,30.3,36.3,15.8,4.5,65.5,72.1,"MO",64.5,"45.2","53",319294
"54",3128000,"Lincoln",20.4,21.3,6.4,72.4,2.4,5.2,5,7.7,13.6,17.4,7.7,25.9,30.8,9.6,21.5,30.9,9.2,2.5,60.2,62.3,"NE",42.7,"24.1","58.5",258379
"55",3137000,"Omaha",22.9,20.6,6.3,70.9,2.6,5.6,5.5,8.2,17.1,21.3,9.5,30,31.1,10.4,27.3,32.2,10.3,3,62.3,64.4,"NE",45.1,"--","39.7",408958
"56",3231900,"Henderson",19.2,16.8,6,74.7,2.4,5.8,5,8.8,12.1,17,7.7,24,29.1,11.4,22.5,23.7,10.8,2.4,53.4,65.8,"NV",29.6,"23.8","36.9",257729
"57",3240000,"Las Vegas",20.6,15.1,5.8,71,2.8,7.1,6,9.3,19.8,19.8,10,27.1,30.5,13.2,27.5,27.6,13.7,3.1,55.1,65.3,"NV",41.1,"33.6","43.9",583756
"58",3251800,"North Las Vegas",21.2,14.1,5.5,69.8,3.1,7.4,6.4,9.7,22.4,20.8,11.6,29.1,30.9,14,30,29.6,15,3.5,56.1,66.1,"NV",33.2,"31.4","41.9",216961
"59",3260600,"Reno",21.8,18.1,6.3,72.8,2.7,6.9,5.8,9.2,16.2,20.1,8.8,27.7,33.6,13.2,22.8,24.9,13.2,2.9,52.2,63.2,"NV",37.6,"27.7","46.6",225221
"60",3436000,"Jersey City",20.5,14.2,5.1,76.8,2.7,5.2,5.5,8.1,15.9,16.6,11.4,32.5,30.3,11.3,31.7,24.2,11.8,3.1,62.8,79.4,"NJ",87.3,"70.6","54.4",247597
"61",3451000,"Newark",23.9,12.9,5.1,72,3.6,7.6,7.2,10.1,25.2,22.2,15.1,38.6,31.9,15.2,38.2,38.1,16.8,4.7,63.2,78.5,"NJ",80.4,"65.2","49.8",277140
"62",3502000,"Albuquerque",22.2,13.5,5.7,71.7,2.8,5.6,5.3,9.6,14.2,18,9.6,26.4,30.4,11.9,21.4,26,12.5,2.7,53.7,61.3,"NM",42.7,"29.9","60.4",545852
"63",3611000,"Buffalo",27.9,15.8,5.9,74.8,3.2,8.2,6.7,12,15.3,23.6,12.9,37.4,31.6,15.5,35.3,38.4,16.3,4.3,62.8,74.4,"NY",67.8,"49.5","58.6",261310
